#timestamp(s) cam0 cam1 cam2 mono stereo observe
1694073855.90242 193 47 173 319 47 366
1694073855.93575 198 49 175 324 49 373
1694073856.00242 200 50 175 325 50 375
1694073856.03575 200 51 177 326 51 377
1694073856.10371 202 49 177 330 49 379
1694073856.13640 206 49 178 335 49 384
1694073856.20243 208 49 181 340 49 389
1694073856.23576 211 49 186 348 49 397
1694073856.30242 217 50 188 355 50 405
1694073856.33575 219 47 188 360 47 407
1694073856.40373 221 49 189 361 49 410
1694073856.43708 222 51 191 362 51 413
1694073856.50301 224 50 193 367 50 417
1694073856.53576 225 49 193 369 49 418
1694073856.60243 226 48 193 371 48 419
1694073856.63576 240 61 194 373 61 434
1694073856.70372 241 61 194 374 61 435
1694073856.73709 242 61 194 375 61 436
1694073856.80305 246 64 194 376 64 440
1694073856.83640 249 67 194 376 67 443
1694073856.90243 247 67 195 375 67 442
1694073856.93576 247 65 196 378 65 443
1694073857.00331 248 67 198 379 67 446
1694073857.03710 251 68 200 383 68 451
1694073857.10375 251 66 202 387 66 453
1694073857.13709 251 66 200 385 66 451
1694073857.20244 252 68 201 385 68 453
1694073857.30374 246 64 200 382 64 446
1694073857.33710 247 64 201 384 64 448
1694073857.40375 247 65 202 384 65 449
1694073857.43578 247 64 202 385 64 449
1694073857.50244 247 65 203 385 65 450
1694073857.53577 248 65 203 386 65 451
1694073857.60332 246 66 204 384 66 450
1694073857.63711 249 63 205 391 63 454
1694073857.70334 247 62 204 389 62 451
1694073857.73579 250 68 207 389 68 457
1694073857.80245 254 73 205 386 73 459
1694073857.83578 254 74 204 384 74 458
1694073857.90333 254 74 205 385 74 459
1694073857.93670 252 74 206 384 74 458
1694073858.03711 251 73 206 384 73 457
1694073858.13579 257 75 205 387 75 462
1694073858.20335 260 78 205 387 78 465
1694073858.23672 256 73 206 389 73 462
1694073858.33670 256 72 206 390 72 462
1694073858.40246 259 74 208 393 74 467
1694073858.50305 259 72 208 395 72 467
1694073858.53671 259 72 209 396 72 468
1694073858.63671 263 75 208 396 75 471
1694073858.70247 265 77 208 396 77 473
1694073858.83643 263 75 204 392 75 467
1694073858.90336 263 74 206 395 74 469
1694073858.93672 263 76 206 393 76 469
1694073859.00335 262 73 204 393 73 466
1694073859.03580 261 73 203 391 73 464
1694073859.10309 263 73 202 392 73 465
1694073859.13645 262 72 203 393 72 465
1694073859.23673 264 72 200 392 72 464
1694073859.33672 265 75 204 394 75 469
1694073859.40309 265 76 205 394 76 470
1694073859.43645 263 74 206 395 74 469
1694073859.50308 266 75 206 397 75 472
1694073859.53644 263 71 207 399 71 470
1694073859.60336 264 76 207 395 76 471
1694073859.63741 263 71 207 399 71 470
1694073859.70310 264 72 206 398 72 470
1694073859.73646 264 71 209 402 71 473
1694073859.80309 265 70 210 405 70 475
1694073859.83645 265 72 210 403 72 475
1694073859.90249 265 69 210 406 69 475
1694073859.93582 265 71 209 403 71 474
1694073860.00308 264 70 209 403 70 473
